smiles
CCCCn1cc[n+](CCC#N)c1
c1ccc2c(c1)CCC[NH2+]2
CC(C)(C)[NH+]=P(N1CCCC1)(N1CCCC1)N1CCCC1
Cn1cc[n+](Cc2cn(Cc3ccccc3)nn2)c1
CCCCOCc1n(CC[Si](C)(C)C)cc[n+]1C
[PH3+]CCCCCCCCCCCCCC(c1ccccc1)(c1ccccc1)c1ccccc1
CCCCCCCCCC[n+]1ccn(C)c1
CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC
CC(C(=O)c1ccc(-c2ccccc2)cc1)n1cc[n+](C(C)C(=O)c2ccc(-c3ccccc3)cc2)c1
CC(C)OC(=O)[C@@H]([NH3+])C(C)C
CCCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
CCCC[P+]1(c2ccccc2)CCCC1
CCOC(=O)Cn1c(CC)[n+](CC(=O)c2ccccc2)c2ccccc21
COCC[N+]1(C)CCCC1
C[n+]1cccc(-c2ccccn2)c1
CCCCCCCCC[N+]1(C)CCCC1
CCCCOCc1n(C)cc[n+]1C[Si](C)(C)C
C=CC[n+]1cn(CCC[Si](C)(C)C)c2ccccc21
Cn1cc[n+](C(C)(C)C)c1
CCCC[n+]1ccn(CCOCCn2cc[n+](CCCC)c2)c1
CC(C)[C@H]([NH3+])C(=O)O
CCc1n(O)cc[n+]1CC(=O)c1ccc(Cl)cc1
COC(=O)C[N+]1(C)CCCC1
CCCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC
CC[N+](C)(C)CCCO
CCCCCCCC[S+]=C(N)N
CC(C)C[N+](CC(C)C)(CC(C)C)CC(C)C
CCCC[n+]1ccc(C)cc1
CCCn1cc[n+](C)c1C#N
CC(C)CCn1cc[n+](C)c1
CCCCC[N+](C)(CC)CC
CCCCCCCCCCCC[P+](CC)(CC)CC
CC[n+]1ccccc1
CCCCCCOC(=O)C[N+](C)(C)C
CCOCc1n(CC)cc[n+]1CCOC
CCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
C=CCOn1cc[n+](Cc2ccc(Cl)cc2Cl)c1
CCCCCCCCCC[N+](CC)(CC)CCCCCCCCCC
CC1(C)OCC(C[N+](C)(C)Cc2cccnc2)O1
Cn1cc[n+](CC2CCCC2)c1
[N-]=[N+]=Nc1n[nH]c[nH+]1
Cn1cc[n+](CC(=O)c2ccc(C#N)cc2)c1
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1
CC[N+](C)(C)CC#N
Cc1n(CCC(C(N)=O)(c2ccccc2)c2ccccc2)cc[n+]1Cc1ccc(-c2ccccc2)cc1
C[NH+](C)CCCCCCCCCCCCCCCCC1CCCCC1
N#CC[N+]1(CC#N)CCCC1
CCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
CCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
C[N+](C)(C)CCOC(=O)Cc1ccccc1
COC(=O)C[N+](C)(C)Cc1ccccc1C
CCOC(=O)C[N+]1(C)CCCC1
CCC[N+](CCC)(CCC)CCCC(=O)OCC
CCCCCCCCC[S+]1CCCC1
CCCCCCCCCCn1cc[n+](C)c1C
Cn1c[n+](C)cn1
C[N+]1(CCO)CCCCC1
CCCCCCCOC[N+](C)(C)CCO
CCC[n+]1c(N)n(Cc2ccccc2)c2ccccc21
CCCCCCCCCCCCCCC(O)C[N+](C)(C)CCO
C[NH+](C)CCCCCCCCCCC1CCCCC1
CCCCCCCCCCn1cc[n+](CO[C@@H]2C[C@H](C)CC[C@H]2C(C)C)c1
Cc1ccc(C[N+](C)(C)Cc2ccc(C)cc2)cc1
OCC[NH2+]CCO
