smiles
O=P([O-])(O)O
c1ccc2[n-]cnc2c1
CC1(C)CC(OS(=O)(=O)[O-])CC(C)(C)N1[O]
C[C@H](CC#N)[B-](F)(F)F
O=S(=O)([O-])C(F)(F)C(F)(F)O[C@@H](F)C(F)(F)F
Cc1n[n-]cc1Br
CC[C@H](C)[C@H](NC(C)=O)C(=O)[O-]
Cc1ccc(S(=O)(=O)[N-]Cl)cc1
CCCCCCCCO[PH](=O)[O-]
CC[B-](F)(F)F
O=C([C-]C(=O)C(F)(F)F)C(F)(F)F
[O-][Cl+2]([O-])[O-]
C[C@@H](N)C(=O)[O-]
CCOP(=O)([O-])OCC
O=S(=O)([O-])CC(O)CN1CCOCC1
Cl[Al-](Cl)(Cl)[Cl+][Al-](Cl)(Cl)Cl
O=C([O-])c1cccnc1
O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
Brc1cn[n-]c1
CCCCOP[O-]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
O=C([O-])C1([N+](=O)[O-])N=NN=N1
c1ccc2[n-]ncc2c1
Nc1cccc(S(=O)(=O)[O-])c1
O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1
N=C(N)NCCC[C@H](N)C(=O)[O-]
[NH-]S(=O)(=O)C(F)(F)F
CCO[PH](=O)[O-]
CCOC(=O)CC(=O)[O-]
c1ccc(-c2ncc[n-]2)cc1
O=P([O-])(O)OP(=O)(O)O
O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
COc1ccc([O-])cc1
COC(=O)c1ccc(S(=O)(=O)[O-])cc1C(=O)OC
CCCCO[PH](=O)[O-]
c1cn[n-]c1
CS(=O)(=O)[N-]S(C)(=O)=O
O=S(=O)([O-])c1ccc2c(c1)OCCOCCOCCOCCO2
[O-][Cl+3]([O-])([O-])[O-]
[S-]c1ccccc1SSCCS
COc1cc(C=CC(=O)[O-])ccc1O
F[B-](F)(F)F
CCCCC(CC)C(=O)[O-]
CCCC[C@@H](CC)COC(=O)C[C@@H](C(=O)OC[C@@H](CC)CCCC)S(=O)(=O)[O-]
N#C[B-](C#N)(C#N)C(F)(F)F
CCCCCOS(=O)(=O)[O-]
O=S(=O)([O-])CC(O)CNC1CCCCC1
CC[C@@H](C)[C@H](N)C(=O)[O-]
Cc1ccc(S(=O)(=O)[O-])cc1
