smiles,Cation,Anion,Melting point (K)
CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,272.15
CC[n+]1ccn(C)c1.N#C[N-]C#N,CC[n+]1ccn(C)c1,N#C[N-]C#N,252.15
CC[n+]1ccn(C)c1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[n+]1ccn(C)c1,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,276.15
CC[n+]1ccn(C)c1.O=N[O-],CC[n+]1ccn(C)c1,O=N[O-],328.15
CC[n+]1ccn(C)c1.O=[N+]([O-])[O-],CC[n+]1ccn(C)c1,O=[N+]([O-])[O-],311.15
CC[n+]1ccn(C)c1.O=S(=O)(F)[N-]S(=O)(=O)F,CC[n+]1ccn(C)c1,O=S(=O)(F)[N-]S(=O)(=O)F,260.15
CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,301.15
CC[n+]1ccn(C)c1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,CC[n+]1ccn(C)c1,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,257.15
CC[n+]1ccn(C)c1.COS(=O)(=O)[O-],CC[n+]1ccn(C)c1,COS(=O)(=O)[O-],278.15
CC[n+]1ccn(C)c1.O=S(=O)([O-])OC(F)(F)C(F)(F)F,CC[n+]1ccn(C)c1,O=S(=O)([O-])OC(F)(F)C(F)(F)F,208.15
CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,236.15
CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,CC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F,259.15
CC(=O)[O-].CC[n+]1ccn(C)c1,CC[n+]1ccn(C)c1,CC(=O)[O-],228.15
CC[n+]1ccn(C)c1.O=C([O-])c1ccccc1C(=O)O,CC[n+]1ccn(C)c1,O=C([O-])c1ccccc1C(=O)O,226.15
CC[n+]1ccn(C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[n+]1ccn(C)c1,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,312.15
CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,CC[n+]1ccn(C)c1,N#C[C-](C#N)C#N,263.15
CC[n+]1ccn(C)c1.Cl[Al-](Cl)(Cl)Cl,CC[n+]1ccn(C)c1,Cl[Al-](Cl)(Cl)Cl,282.15
CC[n+]1ccn(C)c1.N#C[S-],CC[n+]1ccn(C)c1,N#C[S-],267.15
CCn1cc[nH+]c1C.[Cl-],CCn1cc[nH+]c1C,[Cl-],451.15
CCn1cc[nH+]c1C.[Br-],CCn1cc[nH+]c1C,[Br-],417.15
CCn1cc[nH+]c1C.[O-][Cl+3]([O-])([O-])[O-],CCn1cc[nH+]c1C,[O-][Cl+3]([O-])([O-])[O-],280.15
CCn1cc[nH+]c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCn1cc[nH+]c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,254.15
CCn1cc[nH+]c1C.O=[N+]([O-])[O-],CCn1cc[nH+]c1C,O=[N+]([O-])[O-],348.15
CCn1cc[nH+]c1C.O=S(=O)([O-])C(F)(F)F,CCn1cc[nH+]c1C,O=S(=O)([O-])C(F)(F)F,306.15
