smiles,Cation,Anion,Melting point (K)
CCCCCCCCCCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCC[n+]1cccc(C)c1,F[P-](F)(F)(F)(F)F,328.15
CCCCCCCCCCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,329.15
CCCCCCCCCCCCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCC[n+]1cccc(C)c1,F[P-](F)(F)(F)(F)F,341.15
CCCCCCCCCCCCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,344.15
CCCCCCCCCCCCCCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCC[n+]1cccc(C)c1,F[P-](F)(F)(F)(F)F,347.15
CCCCCCCCCCCCCCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,348.15
CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1cccc(C)c1,F[P-](F)(F)(F)(F)F,360.15
CCCCCCCCCCCCCCCCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCCCCCCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,361.15
N#CCCC[n+]1ccccc1.[Cl-],N#CCCC[n+]1ccccc1,[Cl-],374.15
F[B-](F)(F)F.N#CCCC[n+]1ccccc1,N#CCCC[n+]1ccccc1,F[B-](F)(F)F,335.15
N#CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N#CCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,208.15
F[P-](F)(F)(F)(F)F.N#CCCC[n+]1ccccc1,N#CCCC[n+]1ccccc1,F[P-](F)(F)(F)(F)F,368.15
CC[n+]1ccccc1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,CC[n+]1ccccc1,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,262.15
FC(F)(CC[n+]1ccccc1)C(F)(F)S(F)(F)(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(F)(CC[n+]1ccccc1)C(F)(F)S(F)(F)(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,306.15
FC(F)(CCCC[n+]1ccccc1)C(F)(F)S(F)(F)(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(F)(CCCC[n+]1ccccc1)C(F)(F)S(F)(F)(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,291.15
FC(F)(CC[n+]1ccccc1)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(F)(CC[n+]1ccccc1)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,309.15
FCCC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FCCC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,335.15
FCCC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([O-])C(F)(F)F,FCCC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([O-])C(F)(F)F,361.15
FC(F)(F)CC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(F)(F)CC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,340.15
FC(F)(F)CC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([O-])C(F)(F)F,FC(F)(F)CC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([O-])C(F)(F)F,371.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,325.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([O-])C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([O-])C(F)(F)F,377.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,367.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1.O=S(=O)([O-])C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[n+]1ccc(-c2ccncc2)cc1,O=S(=O)([O-])C(F)(F)F,382.15
CCCC[n+]1cc(C)cc(C)c1.[Br-],CCCC[n+]1cc(C)cc(C)c1,[Br-],368.15
CCCC[n+]1ccc(N(C)C)cc1.[Br-],CCCC[n+]1ccc(N(C)C)cc1,[Br-],495.15
CCCCOC(=O)c1ccc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCOC(=O)c1ccc[n+](CCCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,288.15
CCCCCC[n+]1cc(C)cc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1cc(C)cc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,283.15
CCCCCC[n+]1ccc(N(C)C)cc1.[Br-],CCCCCC[n+]1ccc(N(C)C)cc1,[Br-],469.15
CCCCCC[n+]1ccc(N(C)C)c(C)c1.[Br-],CCCCCC[n+]1ccc(N(C)C)c(C)c1,[Br-],392.15
CCCCCC[n+]1ccc(N(C)C)c(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc(N(C)C)c(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,271.15
CCCCCC[n+]1ccc(N2CCC(C)CC2)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc(N2CCC(C)CC2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,310.15
O=P([O-])(O)O.O=S(=O)(O)CCC[n+]1ccccc1,O=S(=O)(O)CCC[n+]1ccccc1,O=P([O-])(O)O,363.15
CCCCCCCCCCCC[n+]1ccc2ccccc2c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCCCCCCCC[n+]1ccc2ccccc2c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,345.15
CCCCCCCCCCCCCCCCCC[n+]1ccc2ccccc2c1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,CCCCCCCCCCCCCCCCCC[n+]1ccc2ccccc2c1,FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,304.15
CCCC[N+]1=C(C(C)C)SC[C@H]1CC.[I-],CCCC[N+]1=C(C(C)C)SC[C@H]1CC,[I-],410.15
CCCC[N+]1=C(C(C)C)SC[C@H]1CC.F[B-](F)(F)F,CCCC[N+]1=C(C(C)C)SC[C@H]1CC,F[B-](F)(F)F,384.15
CCCC[N+]1=C(C(C)C)SC[C@H]1CC.F[P-](F)(F)(F)(F)F,CCCC[N+]1=C(C(C)C)SC[C@H]1CC,F[P-](F)(F)(F)(F)F,409.15
CCCCCCCCCCCC[N+]1=C(C(C)C)SC[C@H]1CC.F[P-](F)(F)(F)(F)F,CCCCCCCCCCCC[N+]1=C(C(C)C)SC[C@H]1CC,F[P-](F)(F)(F)(F)F,315.15
C[S+](C)C.F[B-](F)(F)F,C[S+](C)C,F[B-](F)(F)F,490.15
C[S+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[S+](C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.15
C[S+](C)C.N#C[N-]C#N,C[S+](C)C,N#C[N-]C#N,272.15
C[S+](C)C.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[S+](C)C,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,305.15
CC[S+](CC)CC.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[S+](CC)CC,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,305.15
CCCC[S+](CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[S+](CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,265.15
CC[S+](C)C.N#C[N-]C#N,CC[S+](C)C,N#C[N-]C#N,245.15
C[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,409.15
CC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,378.15
CC[N+](C)(C)C.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)C,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,263.15
COC[N+](C)(C)C.F[B-](F)(F)F,COC[N+](C)(C)C,F[B-](F)(F)F,319.15
COC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,278.15
CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,292.15
CCC[N+](C)(C)C.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+](C)(C)C,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,283.15
CCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,CCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,292.15
CC(C)[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC(C)[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,402.15
CC(C)[N+](C)(C)C.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC(C)[N+](C)(C)C,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,302.15
CC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,369.15
C=CC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=CC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,314.15
C=CC[N+](C)(C)C.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C=CC[N+](C)(C)C,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,270.15
C#CC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C#CC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,318.15
COC=C(C)[NH+](C)C.F[B-](F)(F)F,COC=C(C)[NH+](C)C,F[B-](F)(F)F,257.15
COC=C(C)[NH+](C)C.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,COC=C(C)[NH+](C)C,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,324.15
CCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,259.15
CC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,402.15
CC[N+](C)(CC)CC.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(CC)CC,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.15
CC[N+](C)(CC)CC.O=C1[N-]S(=O)(=O)c2ccccc21,CC[N+](C)(CC)CC,O=C1[N-]S(=O)(=O)c2ccccc21,299.15
CCOC=C(C)[NH+](C)C.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,CCOC=C(C)[NH+](C)C,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,320.15
CC[N+](C)(C)CCOC.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,CC[N+](C)(C)CCOC,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,321.15
CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,378.15
CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,356.15
CC[N+](CC)(CC)CC.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](CC)(CC)CC,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.15
CC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,CC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,342.15
CC[N+](CC)(CC)CC.O=S(=O)([O-])OCC(F)(F)F,CC[N+](CC)(CC)CC,O=S(=O)([O-])OCC(F)(F)F,278.15
CC[N+](CC)(CC)CC.O=S(=O)([O-])OCC(F)(F)C(F)F,CC[N+](CC)(CC)CC,O=S(=O)([O-])OCC(F)(F)C(F)F,264.15
CC[N+](CC)(CC)CC.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,CC[N+](CC)(CC)CC,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,260.15
CC[N+](CC)(CC)CC.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](CC)(CC)CC,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,319.15
CCCC[N+](C)(C)CC.F[B-](F)(F)F,CCCC[N+](C)(C)CC,F[B-](F)(F)F,431.15
CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,265.15
CCCC[N+](C)(C)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)CCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,288.15
CCCC[N+](C)(C)CCC.N#C[C-](C#N)C#N,CCCC[N+](C)(C)CCC,N#C[C-](C#N)C#N,280.15
CCCCCC[N+](C)(C)C.F[B-](F)(F)F,CCCCCC[N+](C)(C)C,F[B-](F)(F)F,399.15
CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,300.15
CC[N+](C)(C(C)C)C(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C(C)C)C(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,413.15
CC[N+](CC)(C(C)C)C(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](CC)(C(C)C)C(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,421.15
CCCCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,278.15
CCC(C)C[N+](CC)(CC)CC.[Br-],CCC(C)C[N+](CC)(CC)CC,[Br-],373.15
CCC[N+](CCC)(CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+](CCC)(CCC)CCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,378.15
CCC[N+](CCC)(CCC)CCC.O=C1[N-]S(=O)(=O)c2ccccc21,CCC[N+](CCC)(CCC)CCC,O=C1[N-]S(=O)(=O)c2ccccc21,369.15
CCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,293.15
CCCCCC[N+](CC)(CC)CC.CS(=O)(=O)[N-]S(C)(=O)=O,CCCCCC[N+](CC)(CC)CC,CS(=O)(=O)[N-]S(C)(=O)=O,219.15
CCCCCC[N+](CC)(CC)CC.CS(=O)(=O)[O-],CCCCCC[N+](CC)(CC)CC,CS(=O)(=O)[O-],335.15
CCCCCC[N+](CC)(CC)CC.Cc1ccc(S(=O)(=O)[O-])cc1,CCCCCC[N+](CC)(CC)CC,Cc1ccc(S(=O)(=O)[O-])cc1,382.15
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,363.15
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])OCC(F)(F)F,CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([O-])OCC(F)(F)F,353.15
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])OCC(F)(F)C(F)F,CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([O-])OCC(F)(F)C(F)F,269.15
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,265.15
CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](CCCC)(CCCC)CCCC,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,332.15
CCCCCC[N+](CCCC)(CCCC)CCCC.N#C[N-]C#N,CCCCCC[N+](CCCC)(CCCC)CCCC,N#C[N-]C#N,230.15
CCCCCC[N+](CCCC)(CCCC)CCCC.Cc1ccc(S(=O)(=O)[O-])cc1,CCCCCC[N+](CCCC)(CCCC)CCCC,Cc1ccc(S(=O)(=O)[O-])cc1,323.15
CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[N+](CCCCC)(CCCCC)CCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15
CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[N+](CCCCC)(CCCCC)CCCCC,O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,289.15
CCCCC[N+](CCCCC)(CCCCC)CCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,CCCCC[N+](CCCCC)(CCCCC)CCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,298.15
CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,265.15
CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.O=C([O-])c1ccccc1,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,O=C([O-])c1ccccc1,223.15
CCCCCCCC[N+](CCC)(CCCCCCCC)CCCCCCCC.[Br-],CCCCCCCC[N+](CCC)(CCCCCCCC)CCCCCCCC,[Br-],347.15
CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Cl-],CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,[Cl-],264.15
CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,284.15
CCCCCCCCCCCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],CCCCCCCCCCCCCC[N+](CCCCC)(CCCCC)CCCCC,[Br-],336.15
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,304.15
CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-],CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)CCCCCCCCCCCC,[Br-],348.15
CCCCCCCCCCCCCC[NH3+].O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCCC[NH3+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,304.15
CC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.F[B-](F)(F)F,CC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,436.15
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC[N+](C)(C)C(C)C.F[B-](F)(F)F,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC[N+](C)(C)C(C)C,F[B-](F)(F)F,478.15
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC[N+](C)(C)C(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC[N+](C)(C)C(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,314.15
CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.[I-],CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,[I-],355.15
CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.[O-][Cl+3]([O-])([O-])[O-],CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,[O-][Cl+3]([O-])([O-])[O-],351.15
CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.F[B-](F)(F)F,CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,343.15
CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.F[P-](F)(F)(F)(F)F,CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[P-](F)(F)(F)(F)F,377.15
CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.O=C([O-])C(F)(F)F,CCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,O=C([O-])C(F)(F)F,346.15
CCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.F[B-](F)(F)F,CCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,316.15
CCCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C.F[B-](F)(F)F,CCCCCCC[N+](C)(C)CO[C@H]1C[C@@H](C)CC[C@@H]1C(C)C,F[B-](F)(F)F,344.15
CCCCCCCC[N+](C)(C)CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C.F[B-](F)(F)F,CCCCCCCC[N+](C)(C)CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C,F[B-](F)(F)F,361.15
CCCCCCCCC[N+](C)(C)CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C.F[B-](F)(F)F,CCCCCCCCC[N+](C)(C)CO[C@@H]1C[C@H](C)CC[C@H]1C(C)C,F[B-](F)(F)F,344.15
